# I 136 fatti con status='quarantined' e grounding_score >= 99
# estratti da ws6 il 2026-08-28 alle 23:55 da CONFIG.semantic_db (mode=ro)
# ⚠️ il corpus si muove: erano 131 il 27/08. Rifai la query, non fidarti di questo file domani.
# colonne: id	grounding	quarantined_by	topic
6c7d276b8f2d	99.9854	L4.1	project/verimem/ws4-soglia-di-sopravvivenza
dc2015c355d5	99.9852	L4.1	project/teclast-tbook11/pacchetto-consegnato-23-08
fcc760e09a40	99.9852	L4.1	project/verimem/approvati-trattenuti-w34-67
f72209bc802c	99.9849	L4.1	guardia/a1-costo-ricevuta
9b748609249d	99.9848	gate	project/verimem/ws1-migrazione-senza-destinazione
db75b5bf67e8	99.9847	L4.1	project/verimem/tag-posteriore-allupload
0bbf755f4adf	99.9846	gate	project/verimem/ws4-commit-al-96
cf0517c6ef72	99.9845	L4.1	project/verimem/ws4-diciassette-copie
8ab2419f2aab	99.9841	L4.1	project/verimem/clustering-un-solo-cluster
c471818a7e60	99.9840	gate	project/banco-l41-data
cd5cca46d82e	99.9837	L4.1	project/verimem/gate-c-registro-22-08
ab9799f8b2e5	99.9834	L4.1	project/verimem/registro-celle-22-08
f310c63ff613	99.9830		project/verimem/dogfooding-ws1/detector-injection-formule-fisse
6e55cff04705	99.9828	gate	project/banco-l41-data
256ffa6dd4d1	99.9827		project/verimem/l113-elenca-il-sostantivo-del-dominio
5980a16b0a9b	99.9827	L4.1	guardia/verdi-asse-pythonutf8
d5fa20bc2ff6	99.9826	L4.1	project/verimem/tag-solo-locali-quattro
5e4e5381820b	99.9825	L4.1	project/verimem/il-veto-del-publish-e-una-serie-temporale-28-08
89ce5d512423	99.9825	L4.1	brainstorming/25-08
56a172e749f4	99.9824		project/verimem/l1-ammissione-omissione-punita
6fa8eb222690	99.9821	gate	project/lingue-ar-ru
8e6122830c4a	99.9820		project/verimem/l1-termini-tecnici-composti
8b9cc3660de3	99.9817	gate	project/verimem/gate-c-sintesi-cella
3e32782167f4	99.9814	L3-coexistence	project/verimem/ci-latenza-22-08
6cd0f5abb4d9	99.9812	store-screen	project/verimem/screen-iniezione-riconosce
283d353b5ed9	99.9810	L4.1	project/verimem/ws1-audit-riga-quarantined-layers
a84e47d5715c	99.9800		project/verimem/ramo-due-parole-conteggio-coppie
1c2966ddc359	99.9798	gate	project/verimem/ws5-arricchimento-sulla-where
aafdce41a336	99.9794	L4.1	project/verimem/ritmo-supersessioni-80-al-giorno
7fbbb059e6f4	99.9792	L4.1	project/verimem/l42-altra-riga
45f4f5587947	99.9791	L4.1	project/verimem/ws5-primo-verde
f37421e22777	99.9786	L4.1	project/teclast-tbook11/initrd-trixie-13.6-contenuto
bdb4b3b5e695	99.9781	L4.1	project/verimem/gate-c-raggiungibilita
5c3d6cd4d7b3	99.9780	gate	project/verimem/baseline-coseno-corpus
a34a755372e6	99.9780	L4.1	guardia/verdi-asse-pythonutf8
27812fdb9beb	99.9773	gate	project/verimem/ws2-1d-non-dipende-dalla-supersessione
fedf56862bc0	99.9771	gate	lab/ws1/isolo-l41
a820ec6ebb6c	99.9770	L3-coexistence	project/verimem/ci-latenza-22-08
d1c3a57e9521	99.9766	L3-coexistence	project/verimem/registro-celle-22-08
96d6bc0efcb7	99.9766		project/verimem/dogfooding-ws1/cura-sonno-verificata
29885f10ee04	99.9764	L4.1	project/teclast-tbook11/initrd-misure-23-08
100c7c0d0ff1	99.9762	gate	project/banco-l41-data
825d04099f86	99.9760	L4.1	project/verimem/gate-c-raggiungibilita
e1eca1756aae	99.9756	gate	project/lingue-ar-ru
d93d1a9d39a8	99.9755	L4.1	project/verimem/cella-morta-sigsegv
4635e06696e6	99.9750	L4.1	project/verimem/la-distinzione-attributo-quantita-non-regge
3c07f99f7528	99.9749	L4.1	project/verimem/ws5-primo-verde
84ed30128bcd	99.9747	L4.1	project/verimem/registro-celle-22-08
4a08f9c974bd	99.9746	L4.1	guardia/26-08
434aa2bfd60f	99.9743		project/verimem/ramo-due-parole-nome-prodotto
5aef09712585	99.9730	L4.1	project/verimem/ws1-la-riga-si-e-spostata-da-2170-a-2198
cc6f75f0f56d	99.9726	L4.1	project/verimem/presidi-lenti-verde
e8b53ce99f23	99.9725	L3-coexistence	guardia/26-08
1c20e8e552a8	99.9711		project/verimem/l1-16-approvate-participio-del-gate
8e252e95d244	99.9709		project/verimem/l113-parola-piu-frequente-e-il-dominio
c995920e7a47	99.9702	gate	lessons/errors/ws3-source-non-contiene-cio-che-affermo
4bf7614b57c5	99.9698		project/verimem/dogfooding-ws5/il-rilevatore-di-injection-funziona-in-due-lingue
0d9bc389ae91	99.9698	gate	project/verimem/ws1-presidio-versione
a4243d611895	99.9694	gate	project/livello-di-misura
d120f6f63155	99.9690	gate	project/verimem/ws4-run-tornati-in-coda
5f50d3c99aa3	99.9684	gate	project/verimem/ws7/lo-span-cresce-con-la-fonte
9592651bffd5	99.9680	gate	q4/mcp0
b8b7b36406d7	99.9674	gate	project/verimem/cifra-contro-lettera-fa-crollare-il-giudice
d4014ed391d0	99.9673	gate	project/verimem/promessa-centrale-sul-pacchetto
cbbdf6af11a8	99.9673	L4.1	project/verimem/cella-morta-sigsegv
94d6ad3ef282	99.9669	L4.1	guardia/sigla-w7-collide
c04629f40ccf	99.9665	gate	project/verimem/gate-c-un-solo-failed
32381e8409cd	99.9645	gate	banco/ricevuta-muta
5265acbbf923	99.9644	L4.1	banco/ws1-src-una
d9b564e19635	99.9638	L4.1	guardia/26-08
d7752bff25c2	99.9620	L4.1	project/verimem/ws2-cron-su-sha-fermo
1512d6b6ab2c	99.9613	L4.1	project/verimem/pubblicato-vs-repo
fb7d62094338	99.9609	gate	project/verimem/ws1-ci-sha
aaf7b34580a8	99.9585	L4.1	project/verimem/scambio-di-attribuzione-entra
8fcc892092e9	99.9561	L4.1	project/verimem/ram-macchina-libera
d886abcc1b83	99.9555	gate	project/verimem/ws7/tetto/quarantacinque-minuti-esatti
9d811afade33	99.9551	L4.1	project/verimem-site/deploy-28-08
54c63d65375d	99.9529		project/verimem/l1-13-portata-quarantena
6d3d56975e6b	99.9497	L3-coexistence	project/verimem/ws4-quarantene-per-finestra
fd046c24a5ed	99.9490	L4.1	project/verimem/cella-morta-sigsegv
9a54afbbb05d	99.9453	L4.1	project/verimem/ci-latenza-22-08
4320aad9b505	99.9436	L4.1	project/verimem/giro-ws4-26-08
53df2b7e3b6a	99.9436	L4.1	project/verimem/giro-ws4-26-08
